run_id,timestamp,origin,destination,days,budget,estimated_cost,budget_approved,status,iterations,events_count
run_948e8d34e9,2026-09-03 18:53:30 UTC,"Seattle, USA","Vancouver, Canada",2,800.00,575.00,True,success,1,25
impossible_budget_test,2026-09-03 21:41:40 UTC,NYC,"Tokyo, Japan",5,5.00,860.00,False,budget_exceeded,3,555
tracker_test_run,2026-09-03 21:41:40 UTC,SF,Hawaii,4,1500.00,1400.00,True,success,1,3
run_91ded19f68,2026-09-03 18:53:51 UTC,"Seattle, USA","Vancouver, Canada",2,800.00,575.00,True,success,1,25
run_7bddba09dc,2026-09-03 18:55:22 UTC,"San Francisco, USA","Kyoto, Japan",3,1200.00,675.00,True,success,1,27
run_69d53d5e54,2026-09-03 19:00:33 UTC,"Seattle, USA","Vancouver, Canada",2,800.00,575.00,True,success,1,25
run_a731c11cab,2026-09-03 19:07:55 UTC,"San Francisco, USA","Kyoto, Japan",7,3500.00,2646.00,True,success,2,59
run_66be31601b,2026-09-03 21:11:41 UTC,"Seattle, USA","Vancouver, Canada",2,800.00,575.00,True,success,1,28
run_bb95087cd5,2026-09-03 21:12:16 UTC,"Seattle, USA","Vancouver, Canada",2,800.00,575.00,True,success,1,28
run_e6913bb510,2026-09-03 21:17:26 UTC,"Bangkok, Thailand","New York City, USA",7,3500.00,3470.00,True,success,2,75
run_e20b5ca242,2026-09-03 21:40:49 UTC,"Seattle, USA","Vancouver, Canada",2,800.00,575.00,True,success,1,34
req_resp_test_run,2026-09-03 21:41:40 UTC,"Boston, USA","Dublin, Ireland",2,900.00,575.00,True,success,1,68
run_19cd5b5f9e,2026-09-03 21:41:40 UTC,"Seattle, USA","Vancouver, Canada",2,800.00,575.00,True,success,1,34
run_94f82a13d9,2026-09-03 21:43:21 UTC,"Bangkok, Thailand","New York City, USA",7,3200.00,3010.00,True,success,2,100
